State,District,Market Name,Arrival(QTL),Variety,MODAL Price (RS/QTL),MIN Price (RS/QTL),MAX Price (RS/QTL),CropName
Uttar Pradesh,Lakhimpur,Lakhimpur,300,Yellow,1470,1440,1500,Maize
Karnataka,Bellary,Kottur,300,Hybrid/Local,1605,1589,1632,Maize
Uttar Pradesh,Kannuj,Kannauj,250,Yellow,1390,1350,1450,Maize
Karnataka,Koppal,Kustagi,230,Hybrid/Local,1510,1510,1510,Maize
Uttar Pradesh,Etah,Etah,200,Hybrid,1350,1300,1400,Maize
Uttar Pradesh,Kanpur,Choubepur,200,Yellow,1425,1370,1475,Maize
Telangana,Karimnagar,Choppadandi,194,Hybrid,1546,1488,1559,Maize
Uttar Pradesh,Agra,Agra,180,Yellow,1320,1300,1350,Maize
Uttar Pradesh,Kannuj,Chhibramau(Kannuj),180,Hybrid Yellow (Cattle Feed),1380,1330,1430,Maize
Karnataka,Bijapur,Bijapur,160,Hybrid/Local,1450,1400,1500,Maize
Karnataka,Gadag,Mundaragi,130,Yellow,1519,1475,1539,Maize
Telangana,Medak,Siddipet,113.3,Deshi Red,1545,1475,1569,Maize
Uttar Pradesh,Hardoi,Hardoi,100,Hybrid/Local,1530,1500,1560,Maize
Uttar Pradesh,Farukhabad,Kayamganj,100,Hybrid,1350,1340,1360,Maize
Gujarat,Banaskanth,Deesa,770,Other,1375,1275,1425,Bajra
Uttar Pradesh,Firozabad,Tundla,620,Hybrid,1250,1210,1285,Bajra
Uttar Pradesh,Etah,Kasganj,600,Hybrid,1210,1200,1220,Bajra
Uttar Pradesh,Kanpur,Kanpur(Grain),550,Deshi,1465,1400,1500,Bajra
Karnataka,Belgaum,Ramdurga,400,Local,1250,1200,1300,Bajra
Uttar Pradesh,Aligarh,Khair,350,Hybrid,1210,1180,1240,Bajra
Maharashtra,Jalana,Jalana,330,Other,1375,1220,1450,Bajra
Gujarat,Banaskanth,Deesa(Bhildi),214,Other,1350,1335,1400,Bajra
Rajasthan,Sikar,Surajgarh,209,Other,1345,1345,1345,Bajra
Rajasthan,Alwar,Kherli,208,Other,1296,1205,1360,Bajra
